USER       PID %CPU %MEM    VSZ   RSS TTY      STAT START   TIME COMMAND
pciguard   856  0.0  0.0  12304  6372 ?        S    14:44   0:00  \_ /usr/sbin/pciguard
oobe_co+   858  0.0  0.0  12688  7080 ?        S    14:44   0:00 /usr/sbin/oobe_config_restore
wpa        864  0.0  0.0   8268  7176 ?        S    14:44   0:00 /usr/sbin/wpa_supplicant -u -s -O/run/wpa_supplicant
shill      922  0.0  0.2  24268 17464 ?        S    14:44   0:00 /usr/bin/shill --log-level=0 --log-scopes= --vmodule=object_proxy=0,dbus_object=0,bus=0 --portal-list=
syslog     997  0.0  0.0   2448  1012 ?        S    14:44   0:00  \_ /usr/bin/logger --priority daemon err --tag /usr/bin/shill
dhcp      4453  0.0  0.0   3236  2496 ?        S    14:46   0:00  \_ /sbin/dhcpcd -B -q -4 -R --unicast wlan0=wifi_any_65626f6f6b73_managed_psk
attesta+   952  0.0  0.1  16672  8892 ?        S    14:44   0:00 /usr/sbin/pca_agentd
power      989  0.2  0.1 4190128 15592 ?       Sl   14:44   0:05 /usr/bin/powerd --log_dir=/var/log/power_manager --run_dir=/run/power_manager/power --vmodule=
root      1607  0.0  0.2  21724 17048 ?        Ss   14:44   0:00 session_manager
chronos   9847  3.2  4.2 17620156 344800 ?     S<Lsl 14:54   1:10  \_ /opt/google/chrome/chrome --use-gl=egl --enable-native-gpu-memory-buffers --enable-webgl-image-chromium --enab
chronos   9856  0.0  0.9 17103400 73676 ?      SL   14:54   0:00  |   \_ /opt/google/chrome/chrome --type=zygote --no-zygote-sandbox --enable-logging --log-level=1 --vmodule=*arc/*
chronos   9886  3.0  1.8 17726804 149100 ?     S<l  14:54   1:04  |   |   \_ /opt/google/chrome/chrome --type=gpu-process --gpu-sandbox-failures-fatal=yes --enable-logging --log-le
chronos   9903  0.0  0.5 17163856 45836 ?      S<   14:54   0:00  |   |       \_ /opt/google/chrome/chrome --type=broker
chronos   9857  0.0  0.9 17103400 74124 ?      SL   14:54   0:00  |   \_ /opt/google/chrome/chrome --type=zygote --enable-logging --log-level=1 --vmodule=*arc/*=1,*/ash/wm/tablet_m
chronos   9858  0.0  0.0 16784368 3980 ?       S    14:54   0:00  |   |   \_ /opt/google/chrome/nacl_helper
chronos   9861  0.0  0.5 17103400 44772 ?      S    14:54   0:00  |   |   \_ /opt/google/chrome/chrome --type=zygote --enable-logging --log-level=1 --vmodule=*arc/*=1,*/ash/wm/tabl
chronos   9920  0.0  0.7 17153112 61740 ?      Sl   14:54   0:00  |   |       \_ /opt/google/chrome/chrome --type=utility --utility-sub-type=storage.mojom.StorageService --lang=en-
chronos   9944  0.0  0.7 17153112 62188 ?      Sl   14:54   0:00  |   |       \_ /opt/google/chrome/chrome --type=utility --utility-sub-type=chromeos.local_search_service.mojom.Loc
chronos  10041  0.1  2.1 25621384 177092 ?     Sl   14:54   0:03  |   |       \_ /opt/google/chrome/chrome --type=renderer --enable-crashpad --crashpad-handler-pid=9850 --enable-cr
chronos  10079  0.0  1.8 36115012 148296 ?     Sl   14:54   0:01  |   |       \_ /opt/google/chrome/chrome --type=renderer --enable-crashpad --crashpad-handler-pid=9850 --enable-cr
chronos  10081  0.1  2.3 34037152 190656 ?     Sl   14:54   0:02  |   |       \_ /opt/google/chrome/chrome --type=renderer --enable-crashpad --crashpad-handler-pid=9850 --enable-cr
chronos  10112  0.0  1.8 25672768 150732 ?     Sl   14:54   0:01  |   |       \_ /opt/google/chrome/chrome --type=renderer --enable-crashpad --crashpad-handler-pid=9850 --enable-cr
chronos  10128  0.0  1.4 25619316 113404 ?     Sl   14:54   0:00  |   |       \_ /opt/google/chrome/chrome --type=renderer --enable-crashpad --crashpad-handler-pid=9850 --enable-cr
chronos  10186  0.0  1.4 25619320 113976 ?     Sl   14:54   0:00  |   |       \_ /opt/google/chrome/chrome --type=renderer --enable-crashpad --crashpad-handler-pid=9850 --enable-cr
chronos  10625  0.0  0.6 17136720 54068 ?      Sl   14:54   0:00  |   |       \_ /opt/google/chrome/chrome --type=utility --utility-sub-type=chromeos.assistant.mojom.AssistantAudio
chronos  10965  0.1  2.0 29832996 168768 ?     Sl   14:54   0:02  |   |       \_ /opt/google/chrome/chrome --type=renderer --enable-crashpad --crashpad-handler-pid=9850 --enable-cr
chronos  13214  4.3  2.1 29862276 169840 ?     Sl   14:58   1:23  |   |       \_ /opt/google/chrome/chrome --type=renderer --enable-crashpad --crashpad-handler-pid=9850 --enable-cr
chronos  18053  0.0  1.5 29841588 123840 ?     Sl   15:11   0:00  |   |       \_ /opt/google/chrome/chrome --type=renderer --enable-crashpad --crashpad-handler-pid=9850 --enable-cr
chronos  19406  0.5  2.0 25630840 163540 ?     Sl   15:17   0:03  |   |       \_ /opt/google/chrome/chrome --type=renderer --enable-crashpad --crashpad-handler-pid=9850 --enable-cr
chronos  19529  0.0  1.6 29833124 133208 ?     Sl   15:17   0:00  |   |       \_ /opt/google/chrome/chrome --type=renderer --enable-crashpad --crashpad-handler-pid=9850 --enable-cr
chronos  19724  0.1  1.7 25620120 141664 ?     Sl   15:17   0:01  |   |       \_ /opt/google/chrome/chrome --type=renderer --enable-crashpad --crashpad-handler-pid=9850 --enable-cr
